"","year","cost_m","aggregate_demand_gbps","aggregate_capacity_gbps","aggregate_capacity_deficit_gbps","population","area","pop_density_km2","demand_density_mbps_km2","scenario","strategy"
"1",2015,13.7,8.3,94.2,85.9,3401932,10280.736222014,330.903539059341,0.8,"pop-0-unplanned","strategy-macro-densification.csv"
"2",2015,7.4,8.3,92.1,83.8,3401932,10280.736222014,330.903539059341,0.8,"pop-0-unplanned","strategy-macrocell-700-3500.csv"
"3",2015,0,8.3,92.1,83.8,3401932,10280.736222014,330.903539059341,0.8,"pop-0-unplanned","strategy-minimal.csv"
"4",2015,7.4,8.3,92.1,83.8,3401932,10280.736222014,330.903539059341,0.8,"pop-0-unplanned","strategy-sectorisation.csv"
"5",2015,7.4,8.3,92.1,83.8,3401932,10280.736222014,330.903539059341,0.8,"pop-0-unplanned","strategy-small-cell-and-spectrum.csv"
"6",2015,7.4,8.3,92.1,83.8,3401932,10280.736222014,330.903539059341,0.8,"pop-0-unplanned","strategy-small-cell.csv"
"7",2015,13.7,8.3,94.2,85.9,3401932,10280.736222014,330.903539059341,0.8,"pop-1-new-cities","strategy-macro-densification.csv"
"8",2015,7.4,8.3,92.1,83.8,3401932,10280.736222014,330.903539059341,0.8,"pop-1-new-cities","strategy-macrocell-700-3500.csv"
"9",2015,0,8.3,92.1,83.8,3401932,10280.736222014,330.903539059341,0.8,"pop-1-new-cities","strategy-minimal.csv"
"10",2015,7.4,8.3,92.1,83.8,3401932,10280.736222014,330.903539059341,0.8,"pop-1-new-cities","strategy-sectorisation.csv"
"11",2015,7.4,8.3,92.1,83.8,3401932,10280.736222014,330.903539059341,0.8,"pop-1-new-cities","strategy-small-cell-and-spectrum.csv"
"12",2015,7.4,8.3,92.1,83.8,3401932,10280.736222014,330.903539059341,0.8,"pop-1-new-cities","strategy-small-cell.csv"
"13",2015,13.7,8.3,94.2,85.9,3401932,10280.736222014,330.903539059341,0.8,"pop-2-expansion","strategy-macro-densification.csv"
"14",2015,7.4,8.3,92.1,83.8,3401932,10280.736222014,330.903539059341,0.8,"pop-2-expansion","strategy-macrocell-700-3500.csv"
"15",2015,0,8.3,92.1,83.8,3401932,10280.736222014,330.903539059341,0.8,"pop-2-expansion","strategy-minimal.csv"
"16",2015,7.4,8.3,92.1,83.8,3401932,10280.736222014,330.903539059341,0.8,"pop-2-expansion","strategy-sectorisation.csv"
"17",2015,7.4,8.3,92.1,83.8,3401932,10280.736222014,330.903539059341,0.8,"pop-2-expansion","strategy-small-cell-and-spectrum.csv"
"18",2015,7.4,8.3,92.1,83.8,3401932,10280.736222014,330.903539059341,0.8,"pop-2-expansion","strategy-small-cell.csv"
"19",2015,13.7,8.3,94.2,85.9,3401932,10280.736222014,330.903539059341,0.8,"pop-base","strategy-macro-densification.csv"
"20",2015,7.4,8.3,92.1,83.8,3401932,10280.736222014,330.903539059341,0.8,"pop-base","strategy-macrocell-700-3500.csv"
"21",2015,0,8.3,92.1,83.8,3401932,10280.736222014,330.903539059341,0.8,"pop-base","strategy-minimal.csv"
"22",2015,7.4,8.3,92.1,83.8,3401932,10280.736222014,330.903539059341,0.8,"pop-base","strategy-sectorisation.csv"
"23",2015,7.4,8.3,92.1,83.8,3401932,10280.736222014,330.903539059341,0.8,"pop-base","strategy-small-cell-and-spectrum.csv"
"24",2015,7.4,8.3,92.1,83.8,3401932,10280.736222014,330.903539059341,0.8,"pop-base","strategy-small-cell.csv"
"25",2020,16.6,50.2,115.6,65.4,3521341,10280.736222014,342.518368719527,4.9,"pop-0-unplanned","strategy-macro-densification.csv"
"26",2020,20.4,50.2,145.3,95,3521341,10280.736222014,342.518368719527,4.9,"pop-0-unplanned","strategy-macrocell-700-3500.csv"
"27",2020,0,50.2,95.3,45.1,3521341,10280.736222014,342.518368719527,4.9,"pop-0-unplanned","strategy-minimal.csv"
"28",2020,20.4,50.2,145.3,95,3521341,10280.736222014,342.518368719527,4.9,"pop-0-unplanned","strategy-sectorisation.csv"
"29",2020,20.4,50.2,145.3,95,3521341,10280.736222014,342.518368719527,4.9,"pop-0-unplanned","strategy-small-cell-and-spectrum.csv"
"30",2020,18.1,50.2,227.2,177,3521341,10280.736222014,342.518368719527,4.9,"pop-0-unplanned","strategy-small-cell.csv"
"31",2020,16.6,50.3,115.6,65.3,3527710,10280.736222014,343.137876881439,4.9,"pop-1-new-cities","strategy-macro-densification.csv"
"32",2020,20.4,50.3,145.3,95,3527710,10280.736222014,343.137876881439,4.9,"pop-1-new-cities","strategy-macrocell-700-3500.csv"
"33",2020,0,50.3,95.3,45,3527710,10280.736222014,343.137876881439,4.9,"pop-1-new-cities","strategy-minimal.csv"
"34",2020,20.4,50.3,145.3,95,3527710,10280.736222014,343.137876881439,4.9,"pop-1-new-cities","strategy-sectorisation.csv"
"35",2020,20.4,50.3,145.3,95,3527710,10280.736222014,343.137876881439,4.9,"pop-1-new-cities","strategy-small-cell-and-spectrum.csv"
"36",2020,18.1,50.3,227.2,176.9,3527710,10280.736222014,343.137876881439,4.9,"pop-1-new-cities","strategy-small-cell.csv"
"37",2020,16.6,50.5,115.6,65.1,3538944,10280.736222014,344.230600180374,4.9,"pop-2-expansion","strategy-macro-densification.csv"
"38",2020,20.4,50.5,145.3,94.8,3538944,10280.736222014,344.230600180374,4.9,"pop-2-expansion","strategy-macrocell-700-3500.csv"
"39",2020,0,50.5,95.3,44.8,3538944,10280.736222014,344.230600180374,4.9,"pop-2-expansion","strategy-minimal.csv"
"40",2020,20.4,50.5,145.3,94.8,3538944,10280.736222014,344.230600180374,4.9,"pop-2-expansion","strategy-sectorisation.csv"
"41",2020,20.4,50.5,145.3,94.8,3538944,10280.736222014,344.230600180374,4.9,"pop-2-expansion","strategy-small-cell-and-spectrum.csv"
"42",2020,18.1,50.5,227.2,176.8,3538944,10280.736222014,344.230600180374,4.9,"pop-2-expansion","strategy-small-cell.csv"
"43",2020,16.6,50.1,115.6,65.5,3510353,10280.736222014,341.449573668014,4.9,"pop-base","strategy-macro-densification.csv"
"44",2020,20.4,50.1,145.3,95.2,3510353,10280.736222014,341.449573668014,4.9,"pop-base","strategy-macrocell-700-3500.csv"
"45",2020,0,50.1,95.3,45.3,3510353,10280.736222014,341.449573668014,4.9,"pop-base","strategy-minimal.csv"
"46",2020,20.4,50.1,145.3,95.2,3510353,10280.736222014,341.449573668014,4.9,"pop-base","strategy-sectorisation.csv"
"47",2020,20.4,50.1,145.3,95.2,3510353,10280.736222014,341.449573668014,4.9,"pop-base","strategy-small-cell-and-spectrum.csv"
"48",2020,18.1,50.1,227.2,177.2,3510353,10280.736222014,341.449573668014,4.9,"pop-base","strategy-small-cell.csv"
"49",2030,20.3,266.8,147.2,-119.6,3891455,10280.736222014,378.519097850918,26,"pop-0-unplanned","strategy-macro-densification.csv"
"50",2030,25.2,266.8,184.4,-82.4,3891455,10280.736222014,378.519097850918,26,"pop-0-unplanned","strategy-macrocell-700-3500.csv"
"51",2030,0,266.8,98.4,-168.4,3891455,10280.736222014,378.519097850918,26,"pop-0-unplanned","strategy-minimal.csv"
"52",2030,23.9,266.8,183.3,-83.6,3891455,10280.736222014,378.519097850918,26,"pop-0-unplanned","strategy-sectorisation.csv"
"53",2030,25.2,266.8,270.7,3.9,3891455,10280.736222014,378.519097850918,26,"pop-0-unplanned","strategy-small-cell-and-spectrum.csv"
"54",2030,18.2,266.8,363.6,96.8,3891455,10280.736222014,378.519097850918,26,"pop-0-unplanned","strategy-small-cell.csv"
"55",2030,20.3,270.5,147.5,-123,3944815,10280.736222014,383.709387616911,26.3,"pop-1-new-cities","strategy-macro-densification.csv"
"56",2030,25.2,270.5,184.2,-86.3,3944815,10280.736222014,383.709387616911,26.3,"pop-1-new-cities","strategy-macrocell-700-3500.csv"
"57",2030,0,270.5,98.4,-172.1,3944815,10280.736222014,383.709387616911,26.3,"pop-1-new-cities","strategy-minimal.csv"
"58",2030,23.9,270.5,183.5,-87,3944815,10280.736222014,383.709387616911,26.3,"pop-1-new-cities","strategy-sectorisation.csv"
"59",2030,25.2,270.5,270.9,0.4,3944815,10280.736222014,383.709387616911,26.3,"pop-1-new-cities","strategy-small-cell-and-spectrum.csv"
"60",2030,18.2,270.5,363.5,93,3944815,10280.736222014,383.709387616911,26.3,"pop-1-new-cities","strategy-small-cell.csv"
"61",2030,20,276.9,148,-129,4038811,10280.736222014,392.852312595254,26.9,"pop-2-expansion","strategy-macro-densification.csv"
"62",2030,24.9,276.9,187.1,-89.8,4038811,10280.736222014,392.852312595254,26.9,"pop-2-expansion","strategy-macrocell-700-3500.csv"
"63",2030,0,276.9,99,-177.9,4038811,10280.736222014,392.852312595254,26.9,"pop-2-expansion","strategy-minimal.csv"
"64",2030,23.5,276.9,185.6,-91.4,4038811,10280.736222014,392.852312595254,26.9,"pop-2-expansion","strategy-sectorisation.csv"
"65",2030,24.5,276.9,272.2,-4.7,4038811,10280.736222014,392.852312595254,26.9,"pop-2-expansion","strategy-small-cell-and-spectrum.csv"
"66",2030,18.2,276.9,364.2,87.2,4038811,10280.736222014,392.852312595254,26.9,"pop-2-expansion","strategy-small-cell.csv"
"67",2030,20.3,255.4,145.8,-109.6,3724254,10280.736222014,362.25557387858,24.8,"pop-base","strategy-macro-densification.csv"
"68",2030,25.5,255.4,183.2,-72.2,3724254,10280.736222014,362.25557387858,24.8,"pop-base","strategy-macrocell-700-3500.csv"
"69",2030,0,255.4,96.7,-158.7,3724254,10280.736222014,362.25557387858,24.8,"pop-base","strategy-minimal.csv"
"70",2030,24.1,255.4,182.5,-72.8,3724254,10280.736222014,362.25557387858,24.8,"pop-base","strategy-sectorisation.csv"
"71",2030,25.7,255.4,269.1,13.8,3724254,10280.736222014,362.25557387858,24.8,"pop-base","strategy-small-cell-and-spectrum.csv"
"72",2030,18.2,255.4,361.9,106.5,3724254,10280.736222014,362.25557387858,24.8,"pop-base","strategy-small-cell.csv"
"73",2050,0.7,310.2,149.4,-160.8,4524156,10280.736222014,440.061480257851,30.2,"pop-0-unplanned","strategy-macro-densification.csv"
"74",2050,33.7,310.2,205.4,-104.9,4524156,10280.736222014,440.061480257851,30.2,"pop-0-unplanned","strategy-macrocell-700-3500.csv"
"75",2050,0,310.2,100.6,-209.7,4524156,10280.736222014,440.061480257851,30.2,"pop-0-unplanned","strategy-minimal.csv"
"76",2050,34.7,310.2,195.9,-114.3,4524156,10280.736222014,440.061480257851,30.2,"pop-0-unplanned","strategy-sectorisation.csv"
"77",2050,26,310.2,370.4,60.1,4524156,10280.736222014,440.061480257851,30.2,"pop-0-unplanned","strategy-small-cell-and-spectrum.csv"
"78",2050,17.9,310.2,502.3,192,4524156,10280.736222014,440.061480257851,30.2,"pop-0-unplanned","strategy-small-cell.csv"
"79",2050,0.7,317.4,153.8,-163.5,4628118,10280.736222014,450.173791064677,30.9,"pop-1-new-cities","strategy-macro-densification.csv"
"80",2050,33.8,317.4,213.6,-103.7,4628118,10280.736222014,450.173791064677,30.9,"pop-1-new-cities","strategy-macrocell-700-3500.csv"
"81",2050,0,317.4,104.6,-212.7,4628118,10280.736222014,450.173791064677,30.9,"pop-1-new-cities","strategy-minimal.csv"
"82",2050,34.7,317.4,203.5,-113.9,4628118,10280.736222014,450.173791064677,30.9,"pop-1-new-cities","strategy-sectorisation.csv"
"83",2050,26,317.4,377.9,60.5,4628118,10280.736222014,450.173791064677,30.9,"pop-1-new-cities","strategy-small-cell-and-spectrum.csv"
"84",2050,17.9,317.4,505.6,188.2,4628118,10280.736222014,450.173791064677,30.9,"pop-1-new-cities","strategy-small-cell.csv"
"85",2050,0.7,330.6,156.3,-174.3,4820674,10280.736222014,468.903578099547,32.2,"pop-2-expansion","strategy-macro-densification.csv"
"86",2050,33.1,330.6,213.3,-117.3,4820674,10280.736222014,468.903578099547,32.2,"pop-2-expansion","strategy-macrocell-700-3500.csv"
"87",2050,0,330.6,104.7,-225.8,4820674,10280.736222014,468.903578099547,32.2,"pop-2-expansion","strategy-minimal.csv"
"88",2050,34.1,330.6,202.8,-127.8,4820674,10280.736222014,468.903578099547,32.2,"pop-2-expansion","strategy-sectorisation.csv"
"89",2050,24.2,330.6,374.2,43.7,4820674,10280.736222014,468.903578099547,32.2,"pop-2-expansion","strategy-small-cell-and-spectrum.csv"
"90",2050,17.9,330.6,505.7,175.1,4820674,10280.736222014,468.903578099547,32.2,"pop-2-expansion","strategy-small-cell.csv"
"91",2050,0.7,274.8,148.3,-126.5,4008122,10280.736222014,389.867215094718,26.7,"pop-base","strategy-macro-densification.csv"
"92",2050,33.2,274.8,196.2,-78.6,4008122,10280.736222014,389.867215094718,26.7,"pop-base","strategy-macrocell-700-3500.csv"
"93",2050,0,274.8,99.2,-175.7,4008122,10280.736222014,389.867215094718,26.7,"pop-base","strategy-minimal.csv"
"94",2050,35.4,274.8,191.5,-83.3,4008122,10280.736222014,389.867215094718,26.7,"pop-base","strategy-sectorisation.csv"
"95",2050,26.7,274.8,370.3,95.5,4008122,10280.736222014,389.867215094718,26.7,"pop-base","strategy-small-cell-and-spectrum.csv"
"96",2050,17.9,274.8,500.1,225.3,4008122,10280.736222014,389.867215094718,26.7,"pop-base","strategy-small-cell.csv"
