year,area_id,area_name,cost,coverage,demand,capacity,energy_demand
2017,E07000009,East Cambridgeshire,100,0.0,656.5131803355544,0.5,690
2017,E07000008,Cambridge,340,0.08499498180147282,5151.936728257082,22.5,2085
2017,E07000012,South Cambridgeshire,410,0.1258457129382743,1482.7443849317676,28.5,2820
2018,E07000009,East Cambridgeshire,100,0.0,666.0105379825245,0.5,690
2018,E07000008,Cambridge,340,0.08499263965290153,5226.341836423748,22.5,2085
2018,E07000012,South Cambridgeshire,410,0.12584107610062517,1504.2046741687634,28.5,2820
2019,E07000009,East Cambridgeshire,100,0.0,677.1614941271641,0.5,690
2019,E07000008,Cambridge,340,0.08499364013106606,5314.056691057285,22.5,2085
2019,E07000012,South Cambridgeshire,410,0.1258448173787654,1529.4072242075401,28.5,2820
